ResponseId,partner_work_hours,partner_work_hours_cat,num_children,num_partners,num_parents,num_siblings,age,gender,gender_code,education_level,education_cat,zip_code,vocational_qualification,has_university_degree,height_cm,weight_kg,bmi,risk_tolerance,personal_income_change,partner_income_change,task_share_food,task_share_childcare,task_share_education,task_share_housework,health_status,health_status_cat,household_income,personal_income,household_income_cat,personal_income_cat
R_2VReUNx9Knl3qE5,45.5,41-50 Stunden,0.0,1.0,0.0,0.0,24.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),72108.0,Bachelor,1,156.0,70.0,28.763971071663377,7.0,0.0,0.0,50.0,,,58.0,4.0,Gut,4250.5,,4001-4500€,
R_1gORU9qM3zxybXH,35.5,31-40 Stunden,,,,,45.0,Male,1.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),82008.0,Lehre/ Berufsausbildung im dualen System,0,187.0,122.0,34.888043695844885,1.0,,,,,,,4.0,Gut,,3250.5,,3001-3500€
R_2ByQsvVOHFpq5xA,0.0,Nicht erwerbstätig,,,,,65.0,Male,1.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),59199.0,Lehre/ Berufsausbildung im dualen System,0,176.0,82.0,26.47210743801653,5.0,,,,,,,3.0,Zufriedenstellend,,1750.5,,1501-2000€
R_3n2z10sS5W5E4PA,45.5,41-50 Stunden,0.0,1.0,0.0,0.0,56.0,Male,1.0,3.0,Abschluss der Polytechnischen Oberschule der DDR,35708.0,Fachschulabschluss (DDR),0,169.0,70.0,24.508945765204302,0.0,-1.0,-1.0,50.0,,,50.0,3.0,Zufriedenstellend,2250.5,,2001-2500€,
R_2YsSdlCKQEFdF8c,35.5,31-40 Stunden,,,,,52.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),54528.0,Lehre/ Berufsausbildung im dualen System,0,169.0,79.0,27.660095935016283,2.0,,,,,,,3.0,Zufriedenstellend,,1250.5,,1001-1500€
R_1K3WGFQNSw2pTFh,0.0,Nicht erwerbstätig,,,,,44.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),94060.0,Ohne beruflichen Bildungsabschluss,0,170.0,125.0,43.25259515570935,0.0,,,,,,,3.0,Zufriedenstellend,,3250.5,,3001-3500€
R_2z7Pct319hjWeyq,35.5,31-40 Stunden,,,,,31.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),30451.0,Bachelor,1,167.0,85.0,30.477966223242138,4.0,,,,,,,1.0,Schlecht,,1750.5,,1501-2000€
R_3lFhxN3tGw86iKR,35.5,31-40 Stunden,0.0,0.0,0.0,0.0,43.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),70597.0,Promotion,1,170.0,61.0,21.107266435986162,7.0,-1.0,-2.0,59.0,,,50.0,3.0,Zufriedenstellend,2750.5,,2501-3000€,
R_2tieHuOmn78Jbr9,35.5,31-40 Stunden,1.0,1.0,0.0,0.0,27.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),90429.0,Fachschulabschluss,0,149.0,84.0,37.83613350749966,3.0,0.0,0.0,42.0,32.0,8.0,26.0,4.0,Gut,2750.5,,2501-3000€,
R_1BSizvCOYeGydml,0.0,Nicht erwerbstätig,0.0,0.0,1.0,0.0,21.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),38350.0,Ohne beruflichen Bildungsabschluss,0,184.0,65.0,19.198960302457465,10.0,,,,,,,5.0,Sehr gut,1250.5,,1001-1500€,
R_1ewwFVfxSAomJSY,35.5,31-40 Stunden,0.0,1.0,0.0,0.0,38.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),46562.0,Lehre/ Berufsausbildung im dualen System,0,180.0,90.0,27.777777777777775,2.0,0.0,-1.0,60.0,,,60.0,4.0,Gut,2750.5,,2501-3000€,
R_0H3SmTJ0PMyqqsN,35.5,31-40 Stunden,1.0,1.0,0.0,0.0,26.0,Male,1.0,3.0,Abschluss der Polytechnischen Oberschule der DDR,1990.0,Fachschulabschluss,0,163.0,56.0,21.077195227520797,8.0,1.0,2.0,69.0,74.0,62.0,38.0,5.0,Sehr gut,4250.5,,4001-4500€,
R_zVF0AbuxUgz33s5,35.5,31-40 Stunden,0.0,1.0,0.0,0.0,59.0,Female,2.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),90403.0,Fachschulabschluss,0,169.0,69.0,24.158817968558527,5.0,0.0,0.0,50.0,,,,3.0,Zufriedenstellend,750.5,,501-1000€,
R_2YQH25SQFg84RaO,45.5,41-50 Stunden,0.0,1.0,0.0,0.0,50.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),44577.0,Diplom,1,183.0,72.0,21.49959688255845,6.0,0.0,-1.0,5.0,,,17.0,3.0,Zufriedenstellend,3750.5,,3501-4000€,
R_6D8UsarvpuOtdND,0.0,Nicht erwerbstätig,0.0,0.0,0.0,0.0,55.0,Female,2.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),68219.0,Lehre/ Berufsausbildung im dualen System,0,165.0,70.0,25.71166207529844,2.0,,,,,,,2.0,Weniger gut,750.5,,501-1000€,
R_32Xw5tYGTXp4GiS,0.0,Nicht erwerbstätig,,,,,69.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),79102.0,Fachschulabschluss,0,168.0,55.0,19.48696145124717,4.0,,,,,,,4.0,Gut,,1750.5,,1501-2000€
R_e5NKqje6upmGJdD,0.0,Nicht erwerbstätig,,,,,59.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),26954.0,Lehre/ Berufsausbildung im dualen System,0,174.0,115.0,37.98388162240719,2.0,,,,,,,3.0,Zufriedenstellend,,750.5,,501-1000€
R_3qwnUuqnACB3E5Y,0.0,Nicht erwerbstätig,0.0,1.0,0.0,0.0,68.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),13053.0,Diplom,1,178.0,74.0,23.355636914530994,3.0,0.0,0.0,19.0,17.0,,41.0,3.0,Zufriedenstellend,3750.5,,3501-4000€,
R_3PYzqiHbFA6tT2r,15.5,11-20 Stunden,0.0,0.0,0.0,0.0,22.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),3046.0,Ohne beruflichen Bildungsabschluss,0,185.0,79.0,23.08254200146092,6.0,,,,,,,4.0,Gut,,250.0,,0-500€
R_1FD4NwogIt61GMi,15.5,11-20 Stunden,0.0,1.0,0.0,0.0,59.0,Female,2.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),85774.0,Lehre/ Berufsausbildung im dualen System,0,175.0,61.0,19.918367346938776,5.0,-1.0,0.0,50.0,,,50.0,4.0,Gut,1250.5,,1001-1500€,
R_2wLERtgP6SgQz4M,45.5,41-50 Stunden,,,,,59.0,Male,1.0,3.0,Abschluss der Polytechnischen Oberschule der DDR,50931.0,Lehre/ Berufsausbildung im dualen System,0,172.0,85.0,28.73174689021093,7.0,,,,,,,3.0,Zufriedenstellend,,1750.5,,1501-2000€
R_3gTQC4FI0TI0bSQ,0.0,Nicht erwerbstätig,,,,,61.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),45307.0,"Lehre/ Berufsausbildung im dualen System,Fachschulabschluss",0,159.0,93.0,36.786519520588584,4.0,,,,,,,2.0,Weniger gut,,750.5,,501-1000€
R_24eYXcS0BD5putU,5.5,1-10 Stunden,0.0,1.0,0.0,0.0,53.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),63263.0,Lehre/ Berufsausbildung im dualen System,0,170.0,68.0,23.529411764705884,1.0,0.0,-2.0,40.0,,,40.0,1.0,Schlecht,2250.5,,2001-2500€,
R_OIkjcsqs0gfgvqV,0.0,Nicht erwerbstätig,0.0,1.0,0.0,0.0,40.0,Male,1.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),51373.0,Lehre/ Berufsausbildung im dualen System,0,185.0,75.0,21.913805697589478,0.0,0.0,0.0,57.0,,,50.0,2.0,Weniger gut,1250.5,,1001-1500€,
R_2xLW4K8nsp04TBg,45.5,41-50 Stunden,,,,,40.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),90419.0,Master,1,173.0,66.0,22.052190183434128,7.0,,,,,,,4.0,Gut,,2750.5,,2501-3000€
R_110f6iZCWYYVbQc,25.5,21-30 Stunden,,,,,53.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),3130.0,Fachschulabschluss,0,167.0,68.0,24.38237297859371,0.0,,,,,,,3.0,Zufriedenstellend,,750.5,,501-1000€
R_3ew6aHyhg6ZP73Y,35.5,31-40 Stunden,,,,,47.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),46419.0,Diplom,1,164.0,85.0,31.603212373587155,4.0,,,,,,,4.0,Gut,,2750.5,,2501-3000€
R_09uP4l2710u9TtT,0.0,Nicht erwerbstätig,2.0,1.0,0.0,0.0,58.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),47057.0,Lehre/ Berufsausbildung im dualen System,0,174.0,110.0,36.332408508389484,3.0,0.0,0.0,82.0,,,82.0,2.0,Weniger gut,2750.5,,2501-3000€,
R_3lypvZkSvoePc7M,45.5,41-50 Stunden,,,,,27.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),27356.0,Lehre/ Berufsausbildung im dualen System,0,184.0,73.0,21.561909262759922,6.0,,,,,,,3.0,Zufriedenstellend,,1750.5,,1501-2000€
R_3lukc0w1AUQRr4P,0.0,Nicht erwerbstätig,,,,,54.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),22307.0,Ohne beruflichen Bildungsabschluss,0,174.0,68.0,22.460034350640772,1.0,,,,,,,3.0,Zufriedenstellend,,750.5,,501-1000€
R_28GtAfk1dD5ZKyN,0.0,Nicht erwerbstätig,,,,,46.0,Female,2.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),44137.0,Lehre/ Berufsausbildung im dualen System,0,155.0,63.0,26.22268470343392,0.0,,,,,,,2.0,Weniger gut,,2250.5,,2001-2500€
R_0HXQ6Zn0JaBOPst,35.5,31-40 Stunden,,,,,48.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),83278.0,Fachschulabschluss,0,172.0,76.0,25.689561925365066,6.0,,,,,,,4.0,Gut,,1750.5,,1501-2000€
R_12rIrtFTjOzpfRR,35.5,31-40 Stunden,0.0,1.0,0.0,0.0,67.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),44575.0,Diplom,1,181.0,85.0,25.94548395958609,1.0,0.0,0.0,53.0,,,51.0,4.0,Gut,3750.5,,3501-4000€,
R_3MsoGyHZDRkg6N6,0.0,Nicht erwerbstätig,0.0,1.0,0.0,0.0,40.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),13357.0,Diplom,1,180.0,98.0,30.24691358024691,5.0,-2.0,0.0,25.0,,,32.0,3.0,Zufriedenstellend,2750.5,,2501-3000€,
R_9Z6RpdxgfasKeyJ,0.0,Nicht erwerbstätig,0.0,1.0,0.0,0.0,53.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),58239.0,Lehre/ Berufsausbildung im dualen System,0,175.0,127.0,41.46938775510204,3.0,0.0,0.0,63.0,,,60.0,3.0,Zufriedenstellend,1250.5,,1001-1500€,
R_2OJc5ItHNp6eT2G,35.5,31-40 Stunden,,,,,48.0,Male,1.0,3.0,Abschluss der Polytechnischen Oberschule der DDR,83620.0,Lehre/ Berufsausbildung im dualen System,0,187.0,65.0,18.58789213303211,5.0,,,,,,,5.0,Sehr gut,,1750.5,,1501-2000€
R_31Gzo7EegN2nfA7,45.5,41-50 Stunden,2.0,1.0,0.0,0.0,44.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),51067.0,Lehre/ Berufsausbildung im dualen System,0,169.0,67.0,23.458562375266975,5.0,0.0,0.0,,,,,4.0,Gut,4250.5,,4001-4500€,
R_Zl5q4dElMbGU5P3,45.5,41-50 Stunden,0.0,1.0,0.0,0.0,66.0,Female,2.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),40878.0,Lehre/ Berufsausbildung im dualen System,0,156.0,61.0,25.06574621959237,0.0,0.0,0.0,0.0,,,0.0,5.0,Sehr gut,4250.5,,4001-4500€,
R_3gN4N3CRWUE7nvd,35.5,31-40 Stunden,,,,,61.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),64732.0,Bachelor,1,174.0,61.0,20.147971991015986,9.0,,,,,,,4.0,Gut,,1750.5,,1501-2000€
R_1mRHnlkW2gjJwJ9,35.5,31-40 Stunden,0.0,1.0,0.0,0.0,48.0,Female,2.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),96178.0,Lehre/ Berufsausbildung im dualen System,0,164.0,65.0,24.167162403331353,2.0,0.0,0.0,22.0,,,46.0,5.0,Sehr gut,2250.5,,2001-2500€,
R_2EugSXOF5z7dIB4,5.5,1-10 Stunden,0.0,1.0,0.0,0.0,28.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),21031.0,Bachelor,1,168.0,59.0,20.904195011337873,8.0,0.0,-1.0,42.0,41.0,32.0,23.0,4.0,Gut,3250.5,,3001-3500€,
R_1ISnyk419MQRU5f,45.5,41-50 Stunden,,,,,45.0,Male,1.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),36119.0,Lehre/ Berufsausbildung im dualen System,0,177.0,85.0,27.13141179099237,2.0,,,,,,,3.0,Zufriedenstellend,,1750.5,,1501-2000€
R_Dogh3LZwKcFdqoh,35.5,31-40 Stunden,3.0,1.0,0.0,0.0,23.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),99085.0,Diplom,1,173.0,64.0,21.383941996057334,8.0,-1.0,-1.0,59.0,10.0,0.0,58.0,5.0,Sehr gut,4750.5,,4501-5000€,
R_CgorwzvLutpX9C1,0.0,Nicht erwerbstätig,,,,,70.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),84513.0,Lehre/ Berufsausbildung im dualen System,0,172.0,79.0,26.703623580313685,3.0,,,,,,,1.0,Schlecht,,1250.5,,1001-1500€
R_YWWTunByfAOvVWp,0.0,Nicht erwerbstätig,,,,,23.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),50679.0,Ohne beruflichen Bildungsabschluss,0,160.0,46.0,17.968749999999996,5.0,,,,,,,2.0,Weniger gut,,250.0,,0-500€
R_31N6G47gDWzOENO,5.5,1-10 Stunden,1.0,1.0,2.0,1.0,35.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),67744.0,Ohne beruflichen Bildungsabschluss,0,173.0,67.0,22.386314277122523,6.0,0.0,0.0,48.0,,46.0,69.0,4.0,Gut,2250.5,,2001-2500€,
R_3r47UIzgNlBN2x3,5.5,1-10 Stunden,3.0,3.0,3.0,3.0,26.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),80333.0,Bachelor,1,183.0,95.0,28.367523664486843,6.0,0.0,0.0,32.0,35.0,60.0,48.0,4.0,Gut,1250.5,,1001-1500€,
R_1ocn00rEsOvowSq,25.5,21-30 Stunden,,,,,28.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),64331.0,"Bachelor,Master",1,191.0,98.0,26.863298703434666,7.0,,,,,,,4.0,Gut,,1750.5,,1501-2000€
R_3EWkjpgc4fXTMAm,5.5,1-10 Stunden,1.0,1.0,0.0,0.0,32.0,Male,1.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),89346.0,Lehre/ Berufsausbildung im dualen System,0,183.0,107.0,31.950789811579916,7.0,-1.0,0.0,38.0,55.0,12.0,7.0,5.0,Sehr gut,3750.5,,3501-4000€,
R_PUO6L2svm6U9n6F,45.5,41-50 Stunden,2.0,1.0,0.0,0.0,42.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),44649.0,Promotion,1,189.0,149.0,41.712158114274516,6.0,1.0,0.0,20.0,61.0,95.0,50.0,4.0,Gut,5250.5,,5001-5500€,
R_4SeKpUhe1lVgz97,0.0,Nicht erwerbstätig,,,,,47.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),29369.0,Lehre/ Berufsausbildung im dualen System,0,180.0,80.0,24.691358024691358,0.0,,,,,,,3.0,Zufriedenstellend,,750.5,,501-1000€
R_10pFq5K827hyU6m,5.5,1-10 Stunden,,,,,50.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),97424.0,Lehre/ Berufsausbildung im dualen System,0,180.0,90.0,27.777777777777775,4.0,,,,,,,3.0,Zufriedenstellend,,750.5,,501-1000€
R_22yKMUnk58ef6FO,25.5,21-30 Stunden,,,,,52.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),30974.0,Lehre/ Berufsausbildung im dualen System,0,196.0,120.0,31.23698458975427,3.0,,,,,,,4.0,Gut,,2250.5,,2001-2500€
R_1rIhqJXnWwQiV1v,0.0,Nicht erwerbstätig,1.0,1.0,0.0,0.0,63.0,Male,1.0,2.0,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),8209.0,Lehre/ Berufsausbildung im dualen System,0,183.0,95.0,28.367523664486843,0.0,0.0,0.0,80.0,,,50.0,1.0,Schlecht,1250.5,,1001-1500€,
R_3GfVz0qSWfR22mN,45.5,41-50 Stunden,,,,,36.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),73728.0,Bachelor,1,174.0,79.0,26.09327520147972,5.0,,,,,,,3.0,Zufriedenstellend,,2750.5,,2501-3000€
R_117Tx1D7qQVYBte,0.0,Nicht erwerbstätig,,,,,31.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),33790.0,Ohne beruflichen Bildungsabschluss,0,180.0,64.0,19.753086419753085,7.0,,,,,,,5.0,Sehr gut,,750.5,,501-1000€
R_3hAvTMEwAldccRQ,35.5,31-40 Stunden,1.0,1.0,0.0,0.0,36.0,Male,1.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),69214.0,Lehre/ Berufsausbildung im dualen System,0,185.0,101.0,29.510591672753833,6.0,-1.0,0.0,41.0,20.0,13.0,46.0,4.0,Gut,2750.5,,2501-3000€,
R_2dzLCtZ1dNEsmIs,35.5,31-40 Stunden,1.0,1.0,0.0,0.0,44.0,Male,1.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),47877.0,Lehre/ Berufsausbildung im dualen System,0,185.0,106.0,30.97151205259313,7.0,0.0,0.0,50.0,19.0,100.0,50.0,3.0,Zufriedenstellend,4750.5,,4501-5000€,
R_5mQfc0bG7s1KdGN,35.5,31-40 Stunden,0.0,0.0,1.0,0.0,28.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),65205.0,Master,1,173.0,63.0,21.04981790236894,6.0,,,,,,,5.0,Sehr gut,2750.5,,2501-3000€,
R_2ZEXgnjZXZd0g1j,0.0,Nicht erwerbstätig,0.0,1.0,0.0,0.0,62.0,Male,1.0,3.0,Abschluss der Polytechnischen Oberschule der DDR,8289.0,Lehre/ Berufsausbildung im dualen System,0,182.0,122.0,36.8313005675643,0.0,,,,,,,2.0,Weniger gut,,750.5,,501-1000€
R_3FXJzJI9HX1rg1x,5.5,1-10 Stunden,0.0,1.0,0.0,0.0,25.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),81671.0,Master,1,177.0,61.0,19.4707778735357,4.0,0.0,0.0,42.0,,,51.0,4.0,Gut,3250.5,,3001-3500€,
R_2R1CGhNVGRogylA,35.5,31-40 Stunden,1.0,1.0,0.0,0.0,45.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),51063.0,Diplom,1,186.0,89.0,25.725517400855587,7.0,0.0,0.0,53.0,48.0,54.0,48.0,5.0,Sehr gut,2750.5,,2501-3000€,
R_12neFcAEsOj2O5I,35.5,31-40 Stunden,3.0,1.0,0.0,0.0,45.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),97900.0,Diplom,1,179.0,85.0,26.528510346119035,5.0,-2.0,0.0,60.0,54.0,61.0,85.0,3.0,Zufriedenstellend,2250.5,,2001-2500€,
R_2QnYmttvp4gExm0,35.5,31-40 Stunden,,,,,35.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),69181.0,Master,1,177.0,74.0,23.620287912158062,4.0,,,,,,,4.0,Gut,,3250.5,,3001-3500€
R_1GxMe8WxTBjDtBF,15.5,11-20 Stunden,0.0,1.0,0.0,0.0,67.0,Male,1.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),48599.0,Diplom,1,185.0,105.0,30.67932797662527,7.0,0.0,1.0,87.0,,,91.0,4.0,Gut,7250.5,,7001-7500€,
R_A05wMeo7qQHSNtD,45.5,41-50 Stunden,2.0,1.0,0.0,0.0,50.0,Male,1.0,3.0,Mittleren Schulabschluss (z.B. Realschulabschluss),31832.0,Fachschulabschluss,0,190.0,89.0,24.653739612188367,6.0,0.0,0.0,61.0,40.0,80.0,38.0,4.0,Gut,4750.5,,4501-5000€,
R_Qc3IDCrGe4Rfaed,45.5,41-50 Stunden,,,,,24.0,Female,2.0,4.0,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),90427.0,Bachelor,1,163.0,53.0,19.94805976890361,3.0,,,,,,,4.0,Gut,,1750.5,,1501-2000€
R_11YK3aMPqA14CFZ,35.5,31-40 Stunden,2.0,1.0,0.0,0.0,47.0,Male,1.0,3.0,Abschluss der Polytechnischen Oberschule der DDR,89537.0,"Lehre/ Berufsausbildung im dualen System,Fachschulabschluss",0,163.0,63.0,23.711844630960897,5.0,-2.0,-2.0,0.0,1.0,0.0,1.0,4.0,Gut,2250.5,,2001-2500€,
