ResponseId,Q179,Q4_4,Q80_1,Q256,Q190,Q191,Q120,Q4_2,Q4_3,Q4_5,Q82_1,Q83_1,Q84,Q219_3,Q219_4,Q243_1,Q243_2,Q243_3,Q243_9,Q211,Q86,Q87
R_1K3WGFQNSw2pTFh,Nicht erwerbstätig,,44,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Ohne beruflichen Bildungsabschluss,94060,,,,170,125,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,3001-3500€
R_2z7Pct319hjWeyq,31-40 Stunden,,31,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,30451,,,,167,85,4,,,,,,,Schlecht,,1501-2000€
R_3lFhxN3tGw86iKR,31-40 Stunden,0,43,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Promotion,70597,0,0,0,170,61,7,leicht abgenommen,stark abgenommen,59,,,50,Zufriedenstellend,2501-3000€,
R_2tieHuOmn78Jbr9,31-40 Stunden,1,27,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,90429,1,0,0,149,84,3,sich nicht verändert,sich nicht verändert,42,32,8,26,Gut,2501-3000€,
R_1BSizvCOYeGydml,Nicht erwerbstätig,0,21,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Ohne beruflichen Bildungsabschluss,38350,0,1,0,184,65,"10=sehr bereit, Risiken einzugehen",,,,,,,Sehr gut,1001-1500€,
R_1ewwFVfxSAomJSY,31-40 Stunden,0,38,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,46562,1,0,0,180,90,2,sich nicht verändert,leicht abgenommen,60,,,60,Gut,2501-3000€,
R_0H3SmTJ0PMyqqsN,31-40 Stunden,1,26,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Fachschulabschluss,01990,1,0,0,163,56,8,leicht zugenommen,stark zugenommen,69,74,62,38,Sehr gut,4001-4500€,
R_zVF0AbuxUgz33s5,31-40 Stunden,0,59,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,90403,1,0,0,169,69,5,sich nicht verändert,sich nicht verändert,50,,,,Zufriedenstellend,501-1000€,
R_2YQH25SQFg84RaO,41-50 Stunden,0,50,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,44577,1,0,0,183,72,6,sich nicht verändert,leicht abgenommen,5,,,17,Zufriedenstellend,3501-4000€,
R_6D8UsarvpuOtdND,Nicht erwerbstätig,0,55,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,68219,0,0,0,165,70,2,,,,,,,Weniger gut,501-1000€,
R_32Xw5tYGTXp4GiS,Nicht erwerbstätig,,69,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,79102,,,,168,55,4,,,,,,,Gut,,1501-2000€
R_e5NKqje6upmGJdD,Nicht erwerbstätig,,59,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,26954,,,,174,115,2,,,,,,,Zufriedenstellend,,501-1000€
R_3qwnUuqnACB3E5Y,Nicht erwerbstätig,0,68,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,13053,1,0,0,178,74,3,sich nicht verändert,sich nicht verändert,19,17,,41,Zufriedenstellend,3501-4000€,
R_3PYzqiHbFA6tT2r,11-20 Stunden,0,22,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,03046,0,0,0,185,79,6,,,,,,,Gut,,0-500€
R_1FD4NwogIt61GMi,11-20 Stunden,0,59,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,85774,1,0,0,175,61,5,leicht abgenommen,sich nicht verändert,50,,,50,Gut,1001-1500€,
R_2wLERtgP6SgQz4M,41-50 Stunden,,59,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,50931,,,,172,85,7,,,,,,,Zufriedenstellend,,1501-2000€
R_3gTQC4FI0TI0bSQ,Nicht erwerbstätig,,61,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Fachschulabschluss",45307,,,,159,93,4,,,,,,,Weniger gut,,501-1000€
R_24eYXcS0BD5putU,1-10 Stunden,0,53,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,63263,1,0,0,170,68,1,sich nicht verändert,stark abgenommen,40,,,40,Schlecht,2001-2500€,
R_OIkjcsqs0gfgvqV,Nicht erwerbstätig,0,40,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,51373,1,0,0,185,75,"0=überhaupt nicht bereit, Risiken einzugehen",sich nicht verändert,sich nicht verändert,57,,,50,Weniger gut,1001-1500€,
R_2xLW4K8nsp04TBg,41-50 Stunden,,40,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,90419,,,,173,66,7,,,,,,,Gut,,2501-3000€
R_110f6iZCWYYVbQc,21-30 Stunden,,53,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Fachschulabschluss,03130,,,,167,68,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,501-1000€
R_3ew6aHyhg6ZP73Y,31-40 Stunden,,47,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,46419,,,,164,85,4,,,,,,,Gut,,2501-3000€
R_09uP4l2710u9TtT,Nicht erwerbstätig,2,58,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,47057,1,0,0,174,110,3,sich nicht verändert,sich nicht verändert,82,,,82,Weniger gut,2501-3000€,
R_3lypvZkSvoePc7M,41-50 Stunden,,27,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,27356,,,,184,73,6,,,,,,,Zufriedenstellend,,1501-2000€
R_3lukc0w1AUQRr4P,Nicht erwerbstätig,,54,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Ohne beruflichen Bildungsabschluss,22307,,,,174,68,1,,,,,,,Zufriedenstellend,,501-1000€
R_28GtAfk1dD5ZKyN,Nicht erwerbstätig,,46,Weiblich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,44137,,,,155,63,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Weniger gut,,2001-2500€
R_0HXQ6Zn0JaBOPst,31-40 Stunden,,48,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,83278,,,,172,76,6,,,,,,,Gut,,1501-2000€
R_12rIrtFTjOzpfRR,31-40 Stunden,0,67,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,44575,1,0,0,181,85,1,sich nicht verändert,sich nicht verändert,53,,,51,Gut,3501-4000€,
R_3MsoGyHZDRkg6N6,Nicht erwerbstätig,0,40,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,13357,1,0,0,180,98,5,stark abgenommen,sich nicht verändert,25,,,32,Zufriedenstellend,2501-3000€,
R_9Z6RpdxgfasKeyJ,Nicht erwerbstätig,0,53,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,58239,1,0,0,175,127,3,sich nicht verändert,sich nicht verändert,63,,,60,Zufriedenstellend,1001-1500€,
R_2OJc5ItHNp6eT2G,31-40 Stunden,,48,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,83620,,,,187,65,5,,,,,,,Sehr gut,,1501-2000€
R_31Gzo7EegN2nfA7,41-50 Stunden,2,44,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,51067,1,0,0,169,67,5,sich nicht verändert,sich nicht verändert,,,,,Gut,4001-4500€,
R_Zl5q4dElMbGU5P3,41-50 Stunden,0,66,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,40878,1,0,0,156,61,"0=überhaupt nicht bereit, Risiken einzugehen",sich nicht verändert,sich nicht verändert,0,,,0,Sehr gut,4001-4500€,
R_3gN4N3CRWUE7nvd,31-40 Stunden,,61,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,64732,,,,174,61,9,,,,,,,Gut,,1501-2000€
R_1mRHnlkW2gjJwJ9,31-40 Stunden,0,48,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,96178,1,0,0,164,65,2,sich nicht verändert,sich nicht verändert,22,,,46,Sehr gut,2001-2500€,
R_2EugSXOF5z7dIB4,1-10 Stunden,0,28,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,21031,1,0,0,168,59,8,sich nicht verändert,leicht abgenommen,42,41,32,23,Gut,3001-3500€,
R_1ISnyk419MQRU5f,41-50 Stunden,,45,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,36119,,,,177,85,2,,,,,,,Zufriedenstellend,,1501-2000€
R_Dogh3LZwKcFdqoh,31-40 Stunden,3,23,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,99085,1,0,0,173,64,8,leicht abgenommen,leicht abgenommen,59,10,0,58,Sehr gut,4501-5000€,
R_CgorwzvLutpX9C1,Nicht erwerbstätig,,70,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,84513,,,,172,79,3,,,,,,,Schlecht,,1001-1500€
R_YWWTunByfAOvVWp,Nicht erwerbstätig,,23,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,50679,,,,160,46,5,,,,,,,Weniger gut,,0-500€
R_31N6G47gDWzOENO,1-10 Stunden,1,35,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,67744,1,2,1,173,67,6,sich nicht verändert,sich nicht verändert,48,,46,69,Gut,2001-2500€,
R_3r47UIzgNlBN2x3,1-10 Stunden,3,26,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,80333,3,3,3,183,95,6,sich nicht verändert,sich nicht verändert,32,35,60,48,Gut,1001-1500€,
R_1ocn00rEsOvowSq,21-30 Stunden,,28,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Bachelor,Master",64331,,,,191,98,7,,,,,,,Gut,,1501-2000€
R_3EWkjpgc4fXTMAm,1-10 Stunden,1,32,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,89346,1,0,0,183,107,7,leicht abgenommen,sich nicht verändert,38,55,12,7,Sehr gut,3501-4000€,
R_PUO6L2svm6U9n6F,41-50 Stunden,2,42,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Promotion,44649,1,0,0,189,149,6,leicht zugenommen,sich nicht verändert,20,61,95,50,Gut,5001-5500€,
R_4SeKpUhe1lVgz97,Nicht erwerbstätig,,47,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,29369,,,,180,80,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Zufriedenstellend,,501-1000€
R_10pFq5K827hyU6m,1-10 Stunden,,50,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,97424,,,,180,90,4,,,,,,,Zufriedenstellend,,501-1000€
R_22yKMUnk58ef6FO,21-30 Stunden,,52,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,30974,,,,196,120,3,,,,,,,Gut,,2001-2500€
R_1rIhqJXnWwQiV1v,Nicht erwerbstätig,1,63,Männlich,Haupt- oder Volksschulabschluss (Abschluss der Pflichtschule),Lehre/ Berufsausbildung im dualen System,08209,1,0,0,183,95,"0=überhaupt nicht bereit, Risiken einzugehen",sich nicht verändert,sich nicht verändert,80,,,50,Schlecht,1001-1500€,
R_3GfVz0qSWfR22mN,41-50 Stunden,,36,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,73728,,,,174,79,5,,,,,,,Zufriedenstellend,,2501-3000€
R_117Tx1D7qQVYBte,Nicht erwerbstätig,,31,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,33790,,,,180,64,7,,,,,,,Sehr gut,,501-1000€
R_3hAvTMEwAldccRQ,31-40 Stunden,1,36,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,69214,1,0,0,185,101,6,leicht abgenommen,sich nicht verändert,41,20,13,46,Gut,2501-3000€,
R_2dzLCtZ1dNEsmIs,31-40 Stunden,1,44,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,47877,1,0,0,185,106,7,sich nicht verändert,sich nicht verändert,50,19,100,50,Zufriedenstellend,4501-5000€,
R_5mQfc0bG7s1KdGN,31-40 Stunden,0,28,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,65205,0,1,0,173,63,6,,,,,,,Sehr gut,2501-3000€,
R_2ZEXgnjZXZd0g1j,Nicht erwerbstätig,0,62,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,08289,1,0,0,182,122,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Weniger gut,,501-1000€
R_3FXJzJI9HX1rg1x,1-10 Stunden,0,25,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,81671,1,0,0,177,61,4,sich nicht verändert,sich nicht verändert,42,,,51,Gut,3001-3500€,
R_2R1CGhNVGRogylA,31-40 Stunden,1,45,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,51063,1,0,0,186,89,7,sich nicht verändert,sich nicht verändert,53,48,54,48,Sehr gut,2501-3000€,
R_12neFcAEsOj2O5I,31-40 Stunden,3,45,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,97900,1,0,0,179,85,5,stark abgenommen,sich nicht verändert,60,54,61,85,Zufriedenstellend,2001-2500€,
R_2QnYmttvp4gExm0,31-40 Stunden,,35,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,69181,,,,177,74,4,,,,,,,Gut,,3001-3500€
R_1GxMe8WxTBjDtBF,11-20 Stunden,0,67,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,48599,1,0,0,185,105,7,sich nicht verändert,leicht zugenommen,87,,,91,Gut,7001-7500€,
R_A05wMeo7qQHSNtD,41-50 Stunden,2,50,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,31832,1,0,0,190,89,6,sich nicht verändert,sich nicht verändert,61,40,80,38,Gut,4501-5000€,
R_Qc3IDCrGe4Rfaed,41-50 Stunden,,24,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,90427,,,,163,53,3,,,,,,,Gut,,1501-2000€
R_11YK3aMPqA14CFZ,31-40 Stunden,2,47,Männlich,Abschluss der Polytechnischen Oberschule der DDR,"Lehre/ Berufsausbildung im dualen System,Fachschulabschluss",89537,1,0,0,163,63,5,stark abgenommen,stark abgenommen,0,1,0,1,Gut,2001-2500€,
R_31S4eQiNUAB5ZDF,41-50 Stunden,0,25,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Lehre/ Berufsausbildung im dualen System,Bachelor",77866,1,0,0,163,73,3,leicht zugenommen,sich nicht verändert,57,,,50,Zufriedenstellend,2501-3000€,
R_5nd8YP9YPJxL7LX,Mehr als 50 Stunden,,34,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,16515,,,,183,76,6,,,,,,,Sehr gut,,1501-2000€
R_2BwBb9F8W3yCH6j,Nicht erwerbstätig,,68,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,14165,,,,169,84,7,,,,,,,Weniger gut,,1501-2000€
R_2zGZzKYdqmYefte,Nicht erwerbstätig,0,22,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,32339,0,2,1,175,81,8,,,,,,,Zufriedenstellend,4001-4500€,
R_3nOdI1Lj7TFaTrZ,Nicht erwerbstätig,0,31,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,83278,0,2,0,178,67,5,,,,,,,Gut,2001-2500€,
R_1T8k08aDrmBQwbn,Nicht erwerbstätig,,52,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,65388,,,,174,107,6,,,,,,,Schlecht,,501-1000€
R_3G7jXlEYsapOLvR,31-40 Stunden,0,24,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,97348,1,0,0,167,52,7,leicht zugenommen,sich nicht verändert,90,,,80,Sehr gut,4001-4500€,
R_1i3VwnEZHyOK8v2,41-50 Stunden,2,35,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,37079,1,0,0,189,90,8,sich nicht verändert,sich nicht verändert,40,55,51,59,Gut,2501-3000€,
R_0PtHEC2qf5LXunL,Nicht erwerbstätig,1,40,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,83346,1,0,0,177,90,"0=überhaupt nicht bereit, Risiken einzugehen",sich nicht verändert,sich nicht verändert,50,100,100,100,Gut,2501-3000€,
R_8922gMFJEvEkBP3,1-10 Stunden,,40,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Ohne beruflichen Bildungsabschluss,85774,,,,162,75,8,,,,,,,Zufriedenstellend,,1001-1500€
R_1pPrKEnqTpyeYrv,31-40 Stunden,0,20,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Ohne beruflichen Bildungsabschluss,55116,0,2,0,180,72,7,,,,,,,Gut,0-500€,
R_uqSYnMpzdp20sWR,31-40 Stunden,,36,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,38165,,,,166,79,4,,,,,,,Gut,,2001-2500€
R_2Pi2MFvkm0WmjEy,21-30 Stunden,,50,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Fachschulabschluss,54293,,,,183,94,3,,,,,,,Gut,,1501-2000€
R_23afmsdqbQ9SFYV,41-50 Stunden,0,28,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),"Fachschulabschluss,Bachelor",61440,1,0,0,187,90,6,leicht zugenommen,leicht zugenommen,58,,,79,Zufriedenstellend,9001-9500€,
R_3hGB28xkinPlclU,21-30 Stunden,1,67,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,63755,1,0,0,176,94,"0=überhaupt nicht bereit, Risiken einzugehen",leicht abgenommen,leicht abgenommen,100,,,50,Sehr gut,4001-4500€,
R_2RVeu8zYk56H5cx,31-40 Stunden,,57,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Promotion,25712,,,,183,107,7,,,,,,,Gut,,3001-3500€
R_xitDGsq1iMpUfCN,Nicht erwerbstätig,,63,Männlich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,01307,,,,183,95,2,,,,,,,Gut,,501-1000€
R_qEYr9hSkhRba2Xv,31-40 Stunden,0,51,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,22607,0,0,0,185,120,"0=überhaupt nicht bereit, Risiken einzugehen",,,,,,,Sehr gut,,0-500€
R_3LXSnKIhjXUOFQD,Nicht erwerbstätig,0,69,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,23946,1,0,0,189,103,2,sich nicht verändert,sich nicht verändert,50,,,50,Zufriedenstellend,1501-2000€,
R_1IQMFFXWJ4JrhpV,31-40 Stunden,,57,Weiblich,Abschluss der Polytechnischen Oberschule der DDR,Lehre/ Berufsausbildung im dualen System,12109,,,,178,67,3,,,,,,,Gut,,2001-2500€
R_22Vsu4EHuWxpl3J,11-20 Stunden,0,51,Weiblich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,34121,1,0,0,175,70,6,,,,,,,Weniger gut,,2501-3000€
R_W85MxZkAeKEfIkx,41-50 Stunden,0,50,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Diplom,08056,0,0,0,181,78,5,,,,,,,Sehr gut,7501-8000€,
R_uncCQhxlLyVLDnH,41-50 Stunden,0,34,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Master,26676,1,0,0,173,58,5,sich nicht verändert,sich nicht verändert,50,,,61,Gut,4501-5000€,
R_C2Z8UPm9RQx24O5,Nicht erwerbstätig,,37,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Bachelor,50937,,,,173,68,4,,,,,,,Sehr gut,,0-500€
R_RleWgAz83STLrkR,1-10 Stunden,2,40,Weiblich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Lehre/ Berufsausbildung im dualen System,49186,1,0,0,168,63,3,sich nicht verändert,stark abgenommen,24,3,9,0,Gut,3001-3500€,
R_29t5nkbL42MN3MO,11-20 Stunden,1,32,Männlich,Mittleren Schulabschluss (z.B. Realschulabschluss),Lehre/ Berufsausbildung im dualen System,40789,1,0,0,175,110,3,leicht zugenommen,sich nicht verändert,60,15,30,20,Zufriedenstellend,1501-2000€,
R_vB0t4Miiz6RSTgl,31-40 Stunden,1,49,Männlich,Abitur oder Fachabitur (Höchster Schulabschluss/ Hochschulreife),Fachschulabschluss,86424,1,0,0,174,72,7,sich nicht verändert,sich nicht verändert,53,52,56,62,Gut,8501-9000€,
